n=100
Q=3229
K=3
gamma=0.25

# size category
25 2
70 1
62 2
6 1
57 0
59 2
74 2
86 0
100 2
8 1
13 1
95 1
32 1
17 0
66 0
81 2
53 2
59 1
67 2
19 0
73 1
6 1
10 2
79 0
3 0
63 2
70 2
24 1
79 1
64 0
95 0
100 2
32 2
11 2
60 2
59 2
53 0
4 0
85 0
30 2
26 1
27 0
56 2
60 1
26 2
8 1
78 0
14 1
58 2
72 1
65 2
75 2
3 2
81 0
63 2
37 2
19 1
36 0
39 2
3 2
47 0
89 0
51 2
46 2
42 1
43 2
2 0
36 0
53 2
49 0
39 2
63 0
25 2
70 2
81 2
96 0
49 0
85 2
25 1
24 1
33 1
38 1
54 2
93 0
74 1
5 0
31 0
40 0
93 2
84 2
67 2
21 0
89 1
30 0
10 2
87 2
38 2
48 1
77 0
46 0
