n=100
Q=1052
K=7
gamma=0.50

# size category
27 1
48 4
47 2
93 3
77 1
98 5
80 0
4 0
66 5
70 4
23 1
19 0
25 1
13 2
9 6
88 3
74 1
9 6
20 1
58 0
14 1
49 6
2 3
67 1
49 2
17 3
68 4
53 1
52 4
87 3
80 5
52 2
32 1
85 1
54 6
69 0
94 1
54 1
92 3
41 1
74 4
45 5
58 1
37 1
1 3
53 5
96 5
94 1
58 3
7 0
9 4
61 1
81 6
73 1
57 0
89 1
88 1
48 6
57 6
1 6
86 1
27 3
43 4
47 3
36 0
90 4
41 5
3 2
76 0
33 4
19 6
62 5
20 2
100 0
76 6
65 0
81 1
72 4
31 5
61 5
1 6
3 1
48 4
44 4
1 1
90 0
65 3
56 1
84 4
29 0
90 1
20 2
93 2
98 0
54 3
25 6
20 4
80 5
81 1
63 1
