n=100
Q=3899
K=7
gamma=0.50

# size category
63 0
30 1
12 0
14 6
33 5
48 6
85 1
65 6
73 4
75 0
35 0
27 4
10 0
59 2
32 3
99 0
96 0
47 3
84 1
92 4
78 2
4 3
76 6
67 4
48 6
38 5
34 2
73 2
22 0
53 6
19 1
53 4
67 4
7 5
55 3
5 6
35 6
58 4
69 0
29 4
21 3
78 0
34 4
34 3
20 6
70 0
30 6
69 1
94 5
85 1
6 3
20 0
34 6
42 6
68 5
45 4
43 4
94 2
41 6
38 4
55 6
91 0
76 4
54 4
31 4
69 0
36 6
31 3
95 6
36 0
24 1
90 4
54 3
35 4
56 6
82 5
44 6
52 6
13 1
47 6
4 0
21 6
32 4
34 6
86 4
57 0
25 0
46 0
72 4
7 3
62 4
71 3
53 4
56 1
94 5
35 1
8 3
69 5
12 3
24 4
