n=100
Q=2426
K=7
gamma=0.25

# size category
87 0
30 0
86 5
30 4
33 3
71 1
81 2
44 0
63 5
95 4
32 0
2 6
17 5
23 1
36 6
71 0
9 6
10 6
9 3
54 4
88 4
36 5
15 4
81 2
32 2
25 0
37 6
51 4
16 3
10 3
96 1
73 3
66 4
73 6
56 4
60 2
13 5
6 6
36 4
10 3
87 1
40 2
81 0
86 3
72 4
38 6
69 5
83 2
76 4
27 2
7 2
82 1
84 1
90 3
6 4
66 1
62 2
26 3
89 4
55 2
62 5
82 6
21 5
28 3
37 6
35 0
24 4
31 3
40 5
43 2
15 1
30 0
85 4
28 4
70 2
43 5
35 4
69 1
98 5
69 1
32 3
36 6
10 5
18 4
35 2
89 6
89 4
10 5
5 3
3 4
46 0
56 6
79 4
76 4
79 2
95 4
50 6
71 1
17 5
23 4
