n=100
Q=2742
K=3
gamma=0.50

# size category
59 2
60 2
77 1
5 1
65 1
22 1
41 2
30 0
36 2
50 0
55 1
92 0
49 1
86 1
39 2
51 1
79 0
91 2
62 1
74 1
91 0
47 2
93 2
61 0
55 2
22 1
81 2
99 2
22 0
58 2
88 2
11 0
26 2
40 0
55 0
91 1
6 1
55 0
67 2
95 2
86 2
55 1
53 0
84 2
64 0
24 0
2 1
77 1
86 2
89 0
26 1
58 0
18 1
91 0
45 1
74 1
96 2
8 1
91 1
25 2
19 0
34 2
15 0
26 2
81 1
84 0
16 2
64 1
73 0
31 2
55 2
59 2
32 0
19 2
40 1
13 0
82 2
100 0
54 0
67 2
88 2
84 2
1 0
5 2
27 0
5 1
86 1
51 0
100 1
69 0
38 2
81 0
17 0
48 1
49 1
59 1
95 1
96 0
68 0
15 1
