n=100
Q=1793
K=3
gamma=0.25

# size category
10 2
90 2
19 0
31 2
34 0
65 1
9 2
63 1
89 0
35 1
38 0
94 1
69 2
23 1
57 2
55 1
66 0
95 1
40 1
97 2
72 2
48 0
11 0
4 0
66 0
88 2
92 2
57 0
29 1
25 0
20 1
32 2
88 2
60 1
69 0
95 0
14 2
55 1
58 1
26 0
75 1
4 2
51 1
29 1
33 1
46 1
51 2
82 1
15 0
59 2
28 0
50 1
86 1
44 0
98 0
57 1
33 0
98 1
15 0
7 1
8 2
56 1
96 0
83 0
3 2
10 1
13 2
29 2
37 2
91 0
7 0
65 1
35 1
55 0
97 2
6 2
59 1
55 2
50 0
71 1
81 2
68 2
98 2
20 0
64 2
43 0
65 2
12 1
72 2
56 2
8 1
47 0
62 2
21 0
54 1
75 1
48 0
88 2
72 0
95 0
