n=100
Q=1600
K=7
gamma=0.25

# size category
2 1
41 4
84 1
82 4
12 4
61 0
16 6
16 1
13 0
16 6
28 6
70 1
6 0
29 6
36 4
82 4
59 3
55 4
2 5
85 3
61 3
98 0
4 5
89 0
77 6
96 2
35 1
21 6
56 4
17 0
3 1
75 3
44 5
8 5
27 2
22 3
53 5
66 6
39 0
100 6
11 1
67 0
94 5
22 2
72 2
31 5
13 1
95 0
45 2
60 5
46 3
49 5
49 2
61 6
31 6
97 5
41 3
82 1
66 6
89 6
60 0
2 4
5 1
11 3
89 6
56 6
94 5
17 6
46 6
29 6
21 5
27 5
58 5
32 4
24 1
64 6
6 4
49 0
87 0
30 5
37 2
34 3
46 3
23 6
17 5
66 2
81 4
84 5
41 2
48 2
38 2
27 6
4 6
54 4
83 6
66 4
58 4
42 3
1 2
8 5
