n=100
Q=3285
K=7
gamma=0.25

# size category
76 3
74 5
74 2
19 6
86 4
20 3
19 3
57 3
28 5
78 3
36 3
81 2
61 4
93 5
91 3
1 1
47 2
88 3
27 3
82 5
83 6
64 3
46 3
13 3
9 4
62 6
76 3
1 0
26 3
94 0
54 1
90 2
62 1
34 2
29 5
83 4
3 1
8 4
32 6
62 2
33 1
49 2
59 6
36 2
43 5
25 2
74 1
43 4
54 6
29 3
66 1
59 4
28 4
90 2
18 6
69 3
49 5
41 4
7 4
67 3
47 3
30 5
63 6
49 2
43 3
100 6
32 5
72 1
26 0
3 0
65 2
20 5
2 6
82 1
7 0
67 2
59 1
67 1
17 5
31 5
26 4
41 4
88 6
72 6
100 6
80 1
83 1
74 3
22 0
63 0
46 0
58 5
91 4
82 6
7 5
32 2
66 6
7 2
58 4
68 0
