n=100
Q=942
K=3
gamma=0.50

# size category
2 0
36 1
71 2
27 0
32 0
7 2
92 2
72 2
64 2
28 0
91 1
60 2
40 2
42 0
14 2
100 0
31 2
5 2
5 1
63 0
4 0
91 2
84 1
81 0
67 2
26 2
41 0
58 2
43 0
51 1
9 1
95 0
59 2
98 1
82 0
30 2
14 2
98 0
93 2
57 1
1 0
11 2
7 1
85 2
40 0
41 1
44 2
19 0
50 0
19 2
38 0
34 2
51 1
41 1
57 2
39 0
3 2
10 2
68 1
5 1
98 1
10 0
19 2
65 2
30 1
53 2
47 0
38 1
72 0
1 1
54 1
18 1
72 2
14 1
14 1
83 2
76 2
48 0
67 1
11 2
99 1
5 2
35 2
64 1
71 0
23 2
67 0
92 1
62 1
4 2
36 2
95 1
44 0
55 2
21 0
97 0
82 1
38 1
59 0
49 2
